video_id,title,publishedAt,categoryId,duration_sec,definition,licensedContent,viewCount,likeCount,commentCount,title_len_chars,title_len_words,desc_len_chars,desc_len_words,tag_count,has_question,has_numbers,has_emoji,caps_ratio,kw_space,th_w,th_h,th_area,published_hour_utc,published_dow,published_month,age_days,likes_per_view,comments_per_view,views_per_day,is_short,is_mid,is_long
kDeOjLaUNlI,Space Channel,2025-09-14T00:43:01Z,22,11,hd,0,63,3,0,13,2,72,12,0,0,0,0,0.15384615384615385,1,1280,720,921600,0,6,9,19,0.047619047619047616,0,3.3157894736842106,1,0,0
y97OvATRW84,Top 5 Most Beautiful Nebula (Hubble + JWST) #Shorts,2025-09-17T21:26:59Z,28,25,hd,0,2055,38,6,51,9,579,45,21,0,1,0,0.19607843137254902,1,1280,720,921600,21,2,9,16,0.018491484184914843,0.002919708,128.4375,1,0,0
UR1M-SC51c4,Light-Year Explained in 30s (NASA Visuals),2025-09-19T10:01:01Z,28,29,hd,0,1017,15,0,42,6,452,49,19,0,1,0,0.19047619047619047,1,1280,720,921600,10,4,9,14,0.014749262536873156,0,72.64285714285714,1,0,0
EU0DiuQePvI,"Stainless steel, sky, changing light â€” The Crab in motion. ðŸ¦€ @ HR MacMillan Space Centre",2025-09-22T06:00:11Z,28,9,hd,0,11,0,0,88,16,419,69,4,0,0,1,0.10227272727272728,1,1280,720,921600,6,0,9,11,0,0,1,1,0,0
pxlDhbItVco,Space Meets Legend: Vancouverâ€™s Crab Sculpture ðŸ¦€ðŸŒŒ,2025-09-22T22:01:04Z,28,59,hd,0,91,2,0,49,7,277,46,8,0,0,1,0.12244897959183673,1,1280,720,921600,22,0,9,11,0.021978022,0,8.272727272727273,1,0,0
SZ26B_bytr8,Great Red Spotâ€™s latest Plot Twistâ€”Itâ€™s Getting Taller #shorts,2025-09-24T00:00:28Z,28,41,hd,0,975,15,0,62,9,806,85,20,0,0,0,0.12903225806451613,1,1280,720,921600,0,2,9,10,0.015384615384615385,0,97.5,1,0,0
QobjrnWb4Bs,What Happens When You Cross a Black Hole? ðŸŒŒ,2025-09-25T10:00:50Z,28,22,hd,0,29,0,0,43,9,338,49,0,1,0,1,0.16279069767441862,1,640,480,307200,10,3,9,8,0,0,3.625,1,0,0
YErZQgHm-Is,Earth: Just a Dot in the Galaxy #shorts,2025-09-26T23:12:38Z,28,17,hd,0,1272,18,0,39,8,902,124,12,0,0,0,0.10256410256410256,1,1280,720,921600,23,4,9,7,0.014150943396226415,0,181.71428571428572,1,0,0
gmDKfa4_QdM,ðŸ”­ Ancient Tech at Adler: The Original Computers of the Sky ðŸŒŒâœ¨ #adlerplanetarium #astrolabe #chicago,2025-10-03T02:02:46Z,28,19,hd,0,138,0,0,99,15,570,89,0,0,0,1,0.070707071,1,1280,720,921600,2,4,10,0,0,0,138,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5651,,,,,,,,,,,,,,,,,,,,,,,,,